length,numAlphas,numDigits,alphaDigitRatio,entropy,isHTTP,isHTTPS,params,anchors,directories,tld,age,class
89,67,6,11.166666666666666,4.578160016678515,1,0,0,0,4,com,9673,benign
86,71,5,14.2,4.686163121077161,1,0,2,0,2,com,7313,benign
86,63,7,9.0,4.505899169344298,1,0,0,0,2,com,7035,benign
87,55,18,3.0555555555555554,4.423327439495689,1,0,0,0,10,com,3266,benign
291,127,81,1.5679012345679013,4.5561126397921825,0,1,1,0,0,com,8023,benign
86,62,8,7.75,4.498583000936267,1,0,0,0,5,com,9232,benign
92,71,4,17.75,4.5270020721829916,1,0,0,0,6,com,8585,benign
104,84,0,1.0,4.295321898212978,1,0,0,0,3,com,8976,benign
102,70,17,4.117647058823529,4.825427215736707,1,0,1,0,3,com,9307,benign
106,76,8,9.5,4.401374479181862,1,0,0,0,5,com,6056,benign
113,88,6,14.666666666666666,4.476183645680643,1,0,0,0,3,com,10327,benign
128,78,33,2.3636363636363638,5.020006324737771,1,0,1,0,2,net,3907,benign
101,77,6,12.833333333333334,4.481217545246729,1,0,0,0,3,com,4180,benign
117,89,5,17.8,4.6230581158671695,1,0,1,0,4,net,2525,benign
115,92,0,1.0,4.073600710698708,1,0,0,0,5,com,7173,benign
83,67,1,67.0,4.423694788329829,1,0,1,0,3,com,8582,benign
103,86,1,86.0,4.2845845421968205,1,0,0,0,7,co.id,4862,benign
96,37,29,1.2758620689655173,4.121093649470477,1,0,0,0,4,net,3217,benign
353,136,114,1.1929824561403508,4.36707710462218,0,1,1,0,0,com,8023,benign
98,72,6,12.0,4.394243801031518,1,0,0,0,3,com,10327,benign
151,97,33,2.9393939393939394,5.012220559614124,1,0,1,0,2,net,3907,benign
102,86,1,86.0,4.049689310398587,1,0,0,0,5,ro,5771,benign
128,93,8,11.625,4.418432614105708,1,0,0,0,6,com,4907,benign
126,94,10,9.4,4.552354264100979,1,0,0,0,5,com,8137,benign
115,90,1,90.0,4.1799383711885785,1,0,0,0,3,net,2525,benign
85,45,16,2.8125,4.375765026459364,1,0,0,0,4,com,3530,benign
104,81,2,40.5,4.681733681023381,1,0,3,0,4,in,5799,benign
118,76,19,4.0,4.864008247620551,1,0,0,0,3,cc,4054,benign
117,86,8,10.75,4.4114783723231135,1,0,0,0,5,com,6056,benign
289,117,90,1.3,4.411600266048067,1,0,1,0,0,com,8023,benign
98,70,8,8.75,4.558129162794804,0,1,1,0,7,com,6150,benign
112,85,8,10.625,4.568852965026807,1,0,0,0,6,com,4907,benign
183,57,68,0.8382352941176471,4.012173874041257,1,0,0,0,4,com,8521,benign
86,65,5,13.0,4.4121528018604375,1,0,0,0,3,com,10327,benign
115,83,9,9.222222222222221,4.566130030015685,1,0,0,0,6,com,4907,benign
83,62,4,15.5,4.6650464743681495,1,0,0,0,4,org,11125,benign
181,66,56,1.1785714285714286,3.7915760859225225,1,0,0,0,3,org,5826,benign
195,70,64,1.09375,4.437191588799071,1,0,1,0,5,com,3298,benign
88,67,7,9.571428571428571,4.510862023894064,1,0,0,0,2,com,7035,benign
88,63,8,7.875,4.592161448696371,1,0,0,0,5,com,2874,benign
86,71,0,1.0,4.308369807173986,1,0,0,0,2,com,6508,benign
95,41,28,1.4642857142857142,4.583264588211281,1,0,2,0,2,com,8585,benign
156,104,19,5.473684210526316,4.909749192944909,1,0,1,0,1,com,3922,benign
97,77,1,77.0,4.172315668913188,1,0,3,0,3,com,3992,benign
87,62,8,7.75,4.651397704320363,0,1,0,0,5,com,8137,benign
105,79,8,9.875,4.6328890566932435,0,1,0,0,5,com,8137,benign
86,59,13,4.538461538461538,4.808410941797828,1,0,1,0,1,pl,8109,benign
91,70,4,17.5,4.533486849428483,1,0,0,0,4,org,11125,benign
91,62,10,6.2,4.479647938275755,1,0,0,0,3,com,7249,benign
115,86,8,10.75,4.41607045398345,1,0,0,0,5,com,3784,benign
93,74,4,18.5,4.708507523974722,1,0,2,0,3,com,8582,benign
98,75,8,9.375,4.680665844717081,1,0,1,0,3,com,8765,benign
93,71,4,17.75,4.421270496854324,1,0,0,0,3,tv,3764,benign
89,59,9,6.555555555555555,4.434376516879302,1,0,0,0,5,com,9232,benign
96,75,5,15.0,4.34554688257812,0,1,0,0,2,com,4561,benign
92,69,8,8.625,4.551647794673742,1,0,0,0,3,com,4180,benign
102,73,8,9.125,4.686303406076476,1,0,0,0,7,com,8765,benign
99,68,8,8.5,4.463762591029626,1,0,0,0,3,com,8325,benign
99,68,12,5.666666666666667,4.4091170401789475,1,0,0,0,5,com,4928,benign
119,94,6,15.666666666666666,4.391872817363539,1,0,0,0,3,com,10327,benign
101,74,8,9.25,4.31146425862739,1,0,0,0,3,com,10327,benign
84,42,19,2.210526315789474,4.298725281108414,1,0,0,0,3,com,3530,benign
159,124,7,17.714285714285715,4.82890452875568,0,1,2,0,0,com,8023,benign
113,64,23,2.782608695652174,4.866631004451221,0,1,1,0,1,com,7484,benign
97,58,11,5.2727272727272725,4.775934720005808,1,0,2,0,3,net,7379,benign
117,88,9,9.777777777777779,4.496615785578142,1,0,0,0,6,com,4907,benign
152,99,32,3.09375,5.067050910341785,1,0,1,0,2,net,3907,benign
86,56,15,3.7333333333333334,4.70704803905753,1,0,0,0,1,com,820,benign
90,75,3,25.0,4.404213413559985,1,0,0,0,8,tv,7421,benign
106,77,4,19.25,4.4848854606855975,1,0,9,0,2,net,1616,benign
97,69,10,6.9,4.683547828062402,1,0,0,0,5,com,6342,benign
89,75,2,37.5,4.387109032659971,1,0,0,0,8,tv,7421,benign
114,94,1,94.0,4.558865955127351,1,0,3,0,3,com,9745,benign
85,66,4,16.5,4.455612996381059,1,0,0,0,4,com,9584,benign
90,41,18,2.2777777777777777,4.062391304037321,1,0,0,0,4,ua,3237,benign
246,74,87,0.8505747126436781,3.6329889309696686,1,0,0,0,4,net,3217,benign
98,36,31,1.1612903225806452,4.009442115776929,1,0,1,0,1,in,4509,benign
90,49,28,1.75,4.717978201976957,1,0,0,0,6,com,6017,benign
133,97,15,6.466666666666667,4.675300457808638,1,0,0,0,5,com,6849,benign
199,93,50,1.86,4.551802678985975,1,0,3,0,2,com,8023,benign
112,80,13,6.153846153846154,4.815186486083057,1,0,2,0,2,com,5852,benign
