length,numAlphas,numDigits,alphaDigitRatio,entropy,isHTTP,isHTTPS,params,anchors,directories,tld,age,class
94,70,7,10.0,4.440384072249503,1,0,0,0,5,com,6864,benign
140,105,10,10.5,4.536457030604953,1,0,0,0,5,com,6144,benign
98,68,10,6.8,4.450405914543568,1,0,0,0,5,com,6056,benign
212,67,74,0.9054054054054054,3.6712142642497123,1,0,0,0,4,net,3217,benign
253,112,71,1.5774647887323943,4.566406254503388,1,0,1,0,0,com,8023,benign
89,69,4,17.25,4.756052814442121,1,0,0,0,2,com,6099,benign
89,65,8,8.125,4.588205163518455,1,0,0,0,5,com,8137,benign
84,66,1,66.0,4.236974197683495,1,0,0,0,4,net,6404,benign
85,56,14,4.0,4.547076967096555,1,0,0,0,5,com,9244,benign
118,90,6,15.0,4.386939531645871,1,0,0,0,3,com,9565,benign
106,77,4,19.25,4.489113912917041,1,0,9,0,2,net,1616,benign
83,69,0,1.0,4.278805251595335,0,1,0,0,4,com,3969,benign
110,83,7,11.857142857142858,4.872262391818053,0,1,3,0,1,org,9522,benign
143,53,43,1.2325581395348837,3.8974305550668613,1,0,0,0,4,net,3217,benign
89,72,2,36.0,4.361922797601699,1,0,1,0,3,com,9788,benign
151,91,40,2.275,4.898183318579731,1,0,1,0,2,net,3907,benign
87,63,9,7.0,4.500599825254112,1,0,0,0,4,com,6056,benign
87,52,21,2.4761904761904763,4.52703196790158,1,0,0,0,10,com,3266,benign
92,67,7,9.571428571428571,4.448484548905644,1,0,0,0,2,com,7035,benign
106,79,10,7.9,4.635406658593157,1,0,0,0,5,com,6342,benign
101,85,0,1.0,4.204633774335197,1,0,0,0,7,ru,4916,benign
84,70,0,1.0,4.200273074529434,0,1,0,0,5,ua,7151,benign
114,84,8,10.5,4.428259118727182,1,0,0,0,5,com,6056,benign
104,73,10,7.3,4.492219200787355,1,0,0,0,5,com,6056,benign
134,103,12,8.583333333333334,4.493683219789938,1,0,0,0,3,com,10018,benign
330,113,108,1.0462962962962963,3.5872226002152052,1,0,0,0,6,net,9262,benign
88,66,7,9.428571428571429,4.479262943767628,1,0,0,0,5,com,3784,benign
116,97,0,1.0,4.115259587315952,1,0,0,0,3,com,6411,benign
88,62,6,10.333333333333334,4.501545898116402,1,0,0,0,4,com,6259,benign
118,88,10,8.8,4.621306175401259,1,0,0,0,5,com,6342,benign
108,82,8,10.25,4.6082728852294705,1,0,0,0,6,com,4907,benign
85,68,0,1.0,4.1661777694301545,1,0,0,0,3,com,8976,benign
95,70,3,23.333333333333332,4.448591035374742,1,0,0,0,7,com,8765,benign
83,59,8,7.375,4.410251402194832,1,0,0,0,5,com,9232,benign
89,66,8,8.25,4.5125959384356,1,0,0,0,3,com,6588,benign
183,66,59,1.11864406779661,4.018746129425398,1,0,0,0,4,com,8521,benign
84,70,0,1.0,4.373687810247354,1,0,0,0,2,com,6099,benign
130,56,32,1.75,3.4961586756728935,1,0,0,0,3,ru,4663,benign
90,69,5,13.8,4.518056814813631,0,1,1,0,2,com,8627,benign
106,74,10,7.4,4.4890328296304105,1,0,0,0,5,com,4928,benign
123,100,2,50.0,4.334384295962476,1,0,0,0,3,com,6411,benign
86,72,0,1.0,4.3389016808100935,1,0,0,0,1,com,10018,benign
98,74,7,10.571428571428571,4.628797891409787,1,0,1,0,2,com,7249,benign
86,65,8,8.125,4.4843230462365655,1,0,0,0,2,com,4718,benign
186,124,30,4.133333333333334,5.061119028967953,1,0,3,0,0,ru,5840,benign
83,57,10,5.7,4.738362350059804,1,0,0,0,1,com,9364,benign
96,70,6,11.666666666666666,4.466557904214134,1,0,0,0,3,com,8325,benign
87,52,21,2.4761904761904763,4.436225823879854,1,0,0,0,10,com,3266,benign
112,90,0,1.0,4.1510222782854855,1,0,0,0,3,com,6411,benign
106,77,4,19.25,4.515103417654432,1,0,9,0,2,net,1616,benign
115,88,5,17.6,4.531573478956002,1,0,1,0,4,net,2525,benign
83,63,5,12.6,4.558362703617868,1,0,0,0,1,com,7024,benign
108,76,11,6.909090909090909,4.540160276625705,1,0,0,0,5,com,6056,benign
101,78,4,19.5,4.666841084118375,1,0,0,0,4,org,11125,benign
101,77,5,15.4,4.374208483430984,1,0,0,0,3,com,10327,benign
85,68,2,34.0,4.229388289712435,1,0,0,0,6,ro,5771,benign
85,64,6,10.666666666666666,4.449845643490787,1,0,0,0,3,com,10327,benign
165,53,60,0.8833333333333333,4.022657266097338,1,0,0,0,4,com,8521,benign
96,70,8,8.75,4.4943342156960995,1,0,0,0,5,com,2874,benign
97,73,8,9.125,4.517568131678035,1,0,0,0,3,com,6588,benign
95,79,0,1.0,4.522678471188596,1,0,1,0,1,com,3922,benign
91,41,37,1.1081081081081081,4.72615566910575,1,0,0,0,6,com,3701,benign
169,131,9,14.555555555555555,4.923192781975414,1,0,2,0,3,net,8189,benign
255,95,78,1.2179487179487178,3.8287886308875096,1,0,0,0,6,net,9262,benign
107,77,5,15.4,4.555994440698976,1,0,9,0,2,net,1616,benign
